item_id,subsystem,part_family,estimate_quantity,source_status,authority,notes
BO-BOM-001,program,pinned_barrel,estimate_one,pending_design,pending_measurement,"Program cylinder concept only; pin spacing and barrel scale pending mechanism mule."
BO-BOM-002,program,pins_or_staples,estimate_assortment,pending_selection,pending_measurement,"Pin material geometry and retention method pending wear testing."
BO-BOM-003,action,followers_trackers_levers,estimate_one_per_note,pending_design,pending_measurement,"Motion path from barrel to pallet; travel and friction pending prototype."
BO-BOM-004,wind_system,hand_crank_and_drive,estimate_one,pending_design,pending_measurement,"Crank synchronizes barrel and bellows; gearing and handle layout pending mockup."
BO-BOM-005,wind_system,bellows,estimate_one_system,pending_design,pending_measurement,"Bellows capacity and cadence pending measurement."
BO-BOM-006,wind_system,reservoir_or_regulator,estimate_optional,pending_decision,pending_measurement,"Smoothing strategy pending wind mule."
BO-BOM-007,windchest,windchest_body,estimate_one,pending_design,pending_measurement,"Channel layout and sealing surfaces pending reviewed design."
BO-BOM-008,windchest,pallet_valves,estimate_one_per_note,pending_design,pending_measurement,"Pallet travel gasket material and return force pending test."
BO-BOM-009,pipes,flue_pipe_rank,estimate_one_rank,pending_decision,pending_measurement,"Possible first voice; no pipe lengths tuning or scaling supplied."
BO-BOM-010,pipes,reed_pipe_rank,estimate_optional,pending_decision,pending_measurement,"Possible alternate or second voice; reed dimensions and regulation not specified."
BO-BOM-011,case,portable_case_and_access_panels,estimate_one,pending_design,pending_measurement,"Case layout service access and handling pending mockup."
