item,required_spec,search_terms,supplier_candidates,date_checked,unit_price_usd,lead_time,substitution_risk,notes
Pinned barrel body / carrier,"diameter length and material pending design review (see bom.csv BO-BOM-001)","barrel organ pinned cylinder blank; wooden dowel or tube stock","hobby lumber suppliers; hardware store dowel stock",TBD,TBD,TBD,Medium,"Fixed vs removable vs replaceable-strip decision open in design.md; no dimensions until mechanism mule"
Pins or event markers,"geometry and retention method pending wear/noise test (bom.csv BO-BOM-002)","brass escutcheon pins; barrel organ pin stock","luthier/hobby hardware suppliers",TBD,TBD,TBD,Medium,"Retention method must pass pin-retention wear test before selection is final"
Follower/tracker stock,"profile material and springing pending prototype (bom.csv BO-BOM-004, BO-BOM-005)","music wire; brass rod; hardwood strip stock","hobby hardware and wire suppliers",TBD,TBD,TBD,Low,"Contact-noise and travel behavior not yet measured"
Return springs or weights,"return force pending pallet-seal test (bom.csv BO-BOM-006)","small extension/compression springs; counterweight stock","spring suppliers; hardware store",TBD,TBD,TBD,Low,"Must close pallets without overloading barrel pins"
Hand crank and handle,"throw and bearing arrangement not specified (bom.csv BO-BOM-007)","hand crank handle hardware; music box crank","hardware suppliers; music box parts suppliers",TBD,TBD,TBD,Low,"Ergonomic mockup required before final selection"
Drive linkages or gears,"crank-to-barrel and crank-to-bellows ratio pending (bom.csv BO-BOM-008)","small gears; sprockets; timing belt stock","hobby/mechanism hardware suppliers",TBD,TBD,TBD,Medium,"No gear ratio authority exists yet; source-only exploration"
Bellows material and hardware,"material hinge and check-valve strategy pending review (bom.csv BO-BOM-009)","bellows leather or cloth-over-board; check valve hardware","leatherworking/bellows suppliers",TBD,TBD,TBD,Medium,"Wind-mule dependent; no pressure/volume spec yet"
Windchest stock,"channel layout gasket surface and access pending design (bom.csv BO-BOM-011)","hardwood or plywood windchest blank stock","lumber suppliers",TBD,TBD,TBD,Medium,"No channel count or layout authority yet"
Pallet valve hardware,"gasket and seat material pending leak test (bom.csv BO-BOM-012)","pallet leather/felt; valve gasket material","organ-building suppliers",TBD,TBD,TBD,Medium,"Leak/return test required before selection"
Flue and reed pipe test voices,"no pipe length mouth geometry scale or tuning supplied (bom.csv BO-BOM-013, BO-BOM-014)","organ pipe sample; test flue pipe; test reed pipe","organ pipe suppliers",TBD,TBD,TBD,High,"Intentionally out of scope for this L2 packet; comparison samples only, no scale claim"
